Transmission,BodyType,Cyl,Litre,Kms,Economy,Make,Model,Badge,Colour,Year,Price,Fuel,Location,Cat,SellerId
Manual,SUV,4,2,67169,6,Subaru,Forester,2.0D,Silver,2011,26888,Diesel,VICTORIA,Used,AGC-SELLER-16890
Automatic,SUV,4,2.5,11000,8.1,Subaru,Forester,2.5i-L,Ice Silver,2015,30999,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2347077
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-L,Blue,2015,36844,Petrol - Unleaded ULP,NORTHERN TERRITORY,BNCIS,AGC-SELLER-51471
Automatic,SUV,4,2.5,81000,9.6,Subaru,Forester,XS Premium,Newport Blue,2009,17100,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3267502
Automatic,SUV,4,2,9398,8.5,Subaru,Forester,XT Premium,Black,2015,44888,Petrol - Premium ULP,NEW SOUTH WALES,Used,AGC-SELLER-10988
Manual,SUV,4,2,0,5.9,Subaru,Forester,2.0D-L,White,2016,37184,Diesel,SOUTH AUSTRALIA,BNCIS,AGC-SELLER-18615
Automatic,SUV,4,2.5,1502,8.1,Subaru,Forester,2.5i-S,Silver,2015,39990,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-15108
Automatic,SUV,4,2,12,8.5,Subaru,Forester,XT Premium,Red,2015,46785,Petrol - Premium ULP,QUEENSLAND,Demo,AGC-SELLER-29334
Automatic,SUV,4,2.5,91059,9.6,Subaru,Forester,X,White,2008,14988,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-10934
Automatic,SUV,4,2.5,11018,8.1,Subaru,Forester,2.5i-L,Bronze,2015,34990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-12886
Automatic,SUV,4,2.5,81966,9.7,Subaru,Forester,XS,Blue,2008,18880,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-2846
Automatic,SUV,4,2.5,108677,8.1,Subaru,Forester,2.5i,White,2013,25990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-16437
Automatic,SUV,4,2.5,0,8.1,Subaru,Forester,2.5i-S,Black,2016,43490,Petrol - Unleaded ULP,VICTORIA,BNCIS,AGC-SELLER-9452
Automatic,SUV,4,2.5,2166,8.1,Subaru,Forester,2.5i-S,Red,2015,40888,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Demo,AGC-SELLER-17810
